file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00328_0076_576322_to_579616,ཨ་ཅག་གཡུ་སྒྲོན་ལ་དེ་ནས་བཟུང་ཚང་མས་སྨྱོན་མ་ཟེར་བ་རེད།  ,a cag g.yu sgron la de nas bzung tshang mas smyon ma zer ba red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00328_0076_576322_to_579616.wav,STT_AB,2,54,3.294,wav16k/STT_AB00328_0076_576322_to_579616.wav,ཨ་ཅག་གཡུ་སྒྲོན་ལགས་དེ་ནས་བཟུང་ཚང་མས་སྨྱོན་མ་ཟེར་བ་རེད།
STT_AB00607_0034_150554_to_154547,གཉིས་པ། དེ་ལ་བརྟེན་ནས་ཡོན་ཏན་ཡོངས་སུ་དག་པར་བསྟན་པ་ནི།  ,gnyis pa/_de la brten nas yon tan yongs su dag par bstan pa ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00607_0034_150554_to_154547.wav,STT_AB,2,55,3.993,wav16k/STT_AB00607_0034_150554_to_154547.wav,གཉིས་པ། དེ་ལ་བརྟེན་ནས་ཡོན་ཏན་ཡོངས་སུ་དག་པར་བསྟན་པ་ནི།
STT_AB00473_0048_182363_to_184872,པཱ་ལགས་ཀྱི་ལྷན་དུ་ལུག་རྫིར་ཤོར་འགྲོ་ཡི་ཡོད།  ,pA lags kyi lhan du lug rdzir shor 'gro yi yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00473_0048_182363_to_184872.wav,STT_AB,2,45,2.509,wav16k/STT_AB00473_0048_182363_to_184872.wav,པཱ་ལགས་ཀྱི་ལྷན་དུ་ལུག་རྫིར་ཤོར་འགྲོ་ཡི་ཡོད།
STT_AB00568_0061_235674_to_239769,རང་བཞིན་མེད་པ་ལ་རང་བཞིན་མེད་པ་ཉིད་དུ་མི་འཛིན་པའི་ཕྱིར་དང་།  ,rang bzhin med pa la rang bzhin med pa nyid du mi 'dzin pa'i phyir dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00568_0061_235674_to_239769.wav,STT_AB,2,60,4.095,wav16k/STT_AB00568_0061_235674_to_239769.wav,རང་བཞིན་མེད་པ་ལ་རང་བཞིན་མེད་པ་ཉིད་དུ་མི་འཛིན་པའི་ཕྱིར་དང་།
STT_AB00568_0059_230947_to_233353,རང་གི་ངོ་བོ་ཇི་ལྟར་གནས་པ་བཞིན་ ,rang gi ngo bo ji ltar gnas pa bzhin _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00568_0059_230947_to_233353.wav,STT_AB,2,31,2.406,wav16k/STT_AB00568_0059_230947_to_233353.wav,རང་གི་ངོ་བོ་ཇི་ལྟར་གནས་པ་བཞིན།
STT_AB00568_0114_496220_to_499240,ངར་འཛིན་ང་ཡིར་འཛིན་མེད་འགྱུར། ཞེས་དང་།  ,ngar 'dzin nga yir 'dzin med 'gyur/_zhes dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00568_0114_496220_to_499240.wav,STT_AB,2,40,3.02,wav16k/STT_AB00568_0114_496220_to_499240.wav,ངར་འཛིན་ང་ཡིར་འཛིན་མེད་འགྱུར། ཞེས་དང་།
STT_AB00658_0021_150680_to_153975,རྒྱབ་དཔུང་སྟོབས་ཤུགས་ལྡན་པ་ཞིག་ཀྱང་དགོས་པ་ཤིན་ཏུ་གལ་ཆེ་བས།  ,rgyab dpung stobs shugs ldan pa zhig kyang dgos pa shin tu gal che bas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00658_0021_150680_to_153975.wav,STT_AB,2,60,3.295,wav16k/STT_AB00658_0021_150680_to_153975.wav,རྒྱ་དཔུང་སྟོབས་ཤགས་ལྡན་པ་ཞིག་ཀྱང་དགོས་པ་ཤིན་ཏུ་གལ་ཆེ་བས།
STT_AB00658_0022_154110_to_159240,དགའ་ལྡན་པ་གཅིག་པུས་སྲིད་སྐྱོང་ལ་ངོ་ལོག་བྱས་ཀྱང་རྒྱལ་ཁ་ཐོབ་རྒྱུའི་གདེང་ཚོད་ཡོང་དཀའ།  ,dga' ldan pa gcig pus srid skyong la ngo log byas kyang rgyal kha thob rgyu'i gdeng tshod yong dka'/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00658_0022_154110_to_159240.wav,STT_AB,2,84,5.13,wav16k/STT_AB00658_0022_154110_to_159240.wav,དགའ་ལྡན་པ་གཅིག་པུས་སྲིད་སྐྱོང་ལ་ངོ་ལོག་བྱས་ཀྱང་། རྒྱལ་ཁ་ཐོབ་རྒྱུའི་གདེང་ཚོད་ཡོང་དཀའ།
STT_AB00658_0024_164812_to_169826,དང། ལས་འགུལ་སྤེལ་སྟངས་ཀྱི་ལམ་སྟོན་སྔ་ཕྱི་དཔལ་ལྡན་དོན་གྲུབ་ལ་གསང་བའི་མྱུལ་ཞིབ་པ་བརྒྱུད་ ,dang/_las 'gul spel stangs kyi lam ston snga phyi dpal ldan don grub la gsang ba'i myul zhib pa brgyud _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00658_0024_164812_to_169826.wav,STT_AB,2,87,5.014,wav16k/STT_AB00658_0024_164812_to_169826.wav,དང་ ལས་འགུལ་སྤེལ་སྟངས་ཀྱི་ལམ་སྟོན་སྔ་ཕྱི་དཔལ་ལྡན་དོན་གྲུབ་ལ་གསང་བའི་མྱུལ་ཞིབ་པ་རྒྱུད་
STT_AB00568_0117_510196_to_517841,དེ་ལྟར་བྱས་ན་ཉེ་བར་ལེན་པ་ནི་ཉོན་མོངས་དང་། སྲིད་པ་ནི་ལས་ཡིན་པས་སྐྱེ་བའི་རྒྱུ་ལས་དང་ ,de ltar byas na nye bar len pa ni nyon mongs dang /_srid pa ni las yin pas skye ba'i rgyu las dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00568_0117_510196_to_517841.wav,STT_AB,2,83,7.645,wav16k/STT_AB00568_0117_510196_to_517841.wav,དེ་ལྟར་བྱས་ན་ཉེ་བར་ལེན་པ་ནི་ཉོན་མོངས་དང་སྲིད་པ་ནི་ལས་ཡིན་པས། སྐྱེ་བའི་རྒྱུ་ལས་དང་
